"GEOID","Population","Housing_Units"
"060014327001",866,338
"060014327002",850,359
"060014327003",944,384
"060014328001",787,287
"060014328002",1863,704
"060014328003",1471,541
"060014330001",1053,388
"060014330002",1347,459
"060014330003",816,290
"060014330004",962,346
"060014331021",1977,627
"060014331022",2147,776
"060014331031",2502,1070
"060014331032",1180,481
"060014331041",885,411
"060014331042",971,443
"060014331043",2269,1071
"060014332001",2125,718
"060014332002",2428,969
"060014332003",1443,686
"060014332004",1656,519
"060014333001",1793,532
"060014333002",985,299
"060014333003",1306,381
"060014333004",1811,536
"060014333005",1553,497
"060014334001",1091,366
"060014334002",1122,373
"060014334003",841,402
"060014334004",1607,461
"060014334005",788,249
"060014334006",1195,542
"060014335001",979,285
"060014335002",941,274
"060014335003",1523,488
"060014335004",1114,392
"060014336001",1087,337
"060014336002",1552,548
"060014336003",1819,637
"060014336004",1849,653
"060014337001",1608,508
"060014337002",1048,325
"060014337003",859,269
"060014338011",941,314
"060014338012",2696,922
"060014338021",2081,764
"060014338022",2284,629
"060014339001",2093,763
"060014339002",1264,500
"060014339003",1189,356
"060014339004",2287,787
"060014340001",2649,881
"060014340002",1199,354
"060014340003",1716,652
"060014351021",2293,865
"060014351022",1876,275
"060014351023",1701,627
"060014351031",1856,586
"060014351032",1829,612
"060014351033",1778,562
"060014351034",2263,790
"060014351041",2760,1156
"060014351042",872,256
"060014351043",1871,795
"060014351044",1727,733
"060014352001",2476,864
"060014352002",2028,613
"060014353001",1619,491
"060014353002",2026,781
"060014353003",1432,500
"060014354001",2030,985
"060014354002",1308,496
"060014354003",1602,706
"060014355001",1021,451
"060014355002",1650,590
"060014355003",1433,499
"060014356011",1764,572
"060014356012",1947,626
"060014356013",1743,520
"060014356021",1286,411
"060014356022",757,299
"060014356023",1808,506
"060014356024",1858,559
"060014357001",1427,489
"060014357002",957,273
"060014357003",1206,375
"060014357004",1314,386
"060014358001",1571,488
"060014358002",1377,430
"060014358003",1427,415
"060014358004",1360,434
"060014359001",1787,550
"060014359002",1593,508
"060014359003",1264,396
"060014359004",787,248
"060014360001",1163,340
"060014360002",2070,658
"060014360003",1816,570
"060014361001",999,328
"060014361002",2588,808
"060014361003",2158,681
"060014362001",1160,470
"060014362002",3016,866
"060014363011",2563,741
"060014363012",3222,1059
"060014363021",1412,485
"060014363022",1468,545
"060014363023",1023,320
"060014364021",1688,602
"060014364022",1319,500
"060014364031",1133,397
"060014364032",1407,754
"060014364033",787,317
"060014364034",955,392
"060014364041",1331,522
"060014364042",1192,402
"060014364043",1086,341
"060014365001",2291,823
"060014365002",1650,492
"060014365003",1431,621
"060014366011",1692,456
"060014366012",2952,910
"060014366013",2117,590
"060014366021",1860,732
"060014366022",2057,599
"060014366023",1485,547
"060014367001",1412,491
"060014367002",2277,643
"060014368001",2480,931
"060014368002",1861,495
"060014369001",2779,724
"060014369002",922,255
"060014369003",1128,306
"060014369004",2270,685
"060014370001",1442,519
"060014370002",802,279
"060014370003",1482,481
"060014371011",3403,941
"060014371012",1757,548
"060014371013",1730,458
"060014371014",642,215
"060014371021",1541,664
"060014371022",1748,541
"060014371023",1268,335
"060014372001",1537,645
"060014372002",854,276
"060014372003",1378,431
"060014372004",2684,1043
"060014372005",2243,597
"060014373001",818,240
"060014373002",1627,462
"060014373003",914,250
"060014374001",964,246
"060014374002",2544,710
"060014375001",2148,513
"060014375002",2649,728
"060014376001",2194,637
"060014376002",1204,321
"060014377011",870,210
"060014377012",2182,607
"060014377013",939,317
"060014377021",1570,402
"060014377022",1712,431
"060014377023",1122,299
"060014378001",2109,672
"060014378002",1170,290
"060014378003",1506,438
"060014379001",1306,403
"060014379002",1120,328
"060014380001",2198,739
"060014380002",1211,368
"060014381001",1804,508
"060014381002",1134,307
"060014381003",1013,332
"060014381004",1417,426
"060014381005",1268,351
"060014381006",1171,286
"060014382011",1515,353
"060014382012",1886,562
"060014382013",1351,345
"060014382031",1900,622
"060014382032",2300,651
"060014382041",2034,582
"060014382042",1154,409
"060014382043",2752,966
"060014383001",1226,315
"060014383002",1664,367
"060014383003",975,246
"060014384001",1114,334
"060014384002",1346,408
"060014401001",2656,1161
"060014402001",1428,379
"060014402002",1561,388
"060014402003",1449,378
"060014402004",1348,350
"060014403011",1790,562
"060014403012",1883,640
"060014403013",1657,518
"060014403014",1799,514
"060014403041",1281,366
"060014403042",1865,549
"060014403043",1580,448
"060014403051",1016,269
"060014403052",868,268
"060014403053",1798,489
"060014403061",2707,715
"060014403062",1313,347
"060014403071",2178,916
"060014403072",1279,475
"060014403073",1002,304
"060014403081",1793,504
"060014403082",1199,397
"060014403083",1419,396
"060014403084",1535,634
"060014403311",1865,497
"060014403312",1458,453
"060014403321",1224,351
"060014403322",1810,527
"060014403331",1557,445
"060014403332",1230,388
"060014403341",1872,482
"060014403342",2211,602
"060014403361",2155,763
"060014403362",2428,720
"060014403371",2708,751
"060014403381",1850,735
"060014403382",507,283
"060014403383",1948,817
"060014411001",2340,871
"060014411002",2164,729
"060014412001",1052,442
"060014412002",447,195
"060014412003",2502,993
"060014412004",1944,573
"060014412005",1332,430
"060014413011",2314,909
"060014413012",934,300
"060014413021",1438,520
"060014413022",1038,304
"060014413023",1477,496
"060014413024",1708,556
"060014414011",1554,576
"060014414012",1964,627
"060014414013",840,305
"060014414014",1271,396
"060014414015",1690,510
"060014414021",1920,618
"060014414022",2185,760
"060014414023",1188,373
"060014415011",1671,473
"060014415012",2672,809
"060014415013",1570,491
"060014415031",169,148
"060014415032",2228,666
"060014415033",1428,441
"060014415034",3938,1171
"060014415211",1779,496
"060014415212",1843,541
"060014415213",1388,426
"060014415214",769,343
"060014415221",1188,353
"060014415222",1738,531
"060014415223",1942,582
"060014415231",1573,546
"060014415232",1321,487
"060014415233",1275,372
"060014415241",2607,857
"060014415242",1433,471
"060014415251",1220,558
"060014415252",50,49
"060014415253",362,228
"060014416011",824,251
"060014416012",2501,794
"060014416013",1316,405
"060014416021",2617,865
"060014416022",2339,776
"060014416023",2264,682
"060014417011",2778,858
"060014417012",1068,290
"060014417021",2008,713
"060014417022",3720,1298
"060014418001",2863,931
"060014418002",1181,409
"060014418003",2282,799
"060014418004",869,281
"060014419211",1283,336
"060014419212",2435,962
"060014419231",1653,638
"060014419232",1096,574
"060014419233",1298,543
"060014419234",2286,895
"060014419241",2521,848
"060014419242",1933,703
"060014419243",1216,446
"060014419244",54,248
"060014419245",1895,702
"060014419261",2213,771
"060014419262",1623,743
"060014419271",2738,1096
"060014419272",1572,604
"060014419281",708,261
"060014419282",2684,1238
"060014419291",2378,1082
"060014419292",1088,507
"060014420001",2005,669
"060014420002",1231,406
"060014421001",2270,731
"060014421002",1533,484
"060014421003",1462,485
"060014422001",1979,617
"060014422002",2424,727
"060014422003",1720,549
"060014422004",1331,402
"060014423011",1767,543
